Product_Id,Material_Id,Date_Id,Total_Emissions,TS
6,1,1017,62.34,1735689600000
12,2,1527,25.95,1735689600000
13,4,133,79.49,1735689600000
9,2,266,43.86,1735689600000
16,2,1149,36.39,1735689600000
10,3,385,33.7,1735689600000
12,2,1243,70.04,1735689600000
6,2,406,27.6,1735689600000
16,1,1532,81.02,1735689600000
1,2,1099,30.23,1735689600000
1,3,1174,54.87,1735689600000
2,1,1271,49.3,1735689600000
13,4,418,85.68,1735689600000
8,1,1191,88.95,1735689600000
14,1,1580,19.25,1735689600000
13,3,1128,58.95,1735689600000
7,4,546,89.92,1735689600000
10,2,1120,45.17,1735689600000
3,2,1450,92.26,1735689600000
5,2,200,28.62,1735689600000
15,1,70,61.27,1735689600000
6,1,711,68.56,1735689600000
3,1,24,23.59,1735689600000
5,3,1751,2.36,1735689600000
12,2,107,42.26,1735689600000
13,3,1064,93.91,1735689600000
11,4,32,34.96,1735689600000
13,4,1318,78.19,1735689600000
14,3,39,18.3,1735689600000
15,1,185,34.85,1735689600000
3,2,856,15.32,1735689600000
5,4,1445,71.96,1735689600000
8,1,579,70.23,1735689600000
8,4,1803,69.16,1735689600000
10,2,1493,26.09,1735689600000
2,3,897,69.54,1735689600000
8,3,1041,23.5,1735689600000
15,1,799,43.04,1735689600000
1,3,1533,37.82,1735689600000
7,4,877,36.18,1735689600000
14,3,700,6.71,1735689600000
10,3,1590,63.53,1735689600000
10,3,122,71.02,1735689600000
8,1,753,61.75,1735689600000
16,2,1268,65.18,1735689600000
14,3,818,17.82,1735689600000
7,4,459,15.8,1735689600000
10,1,876,51.9,1735689600000
2,1,687,87.66,1735689600000
1,2,156,19.21,1735689600000
13,2,674,46.82,1735689600000
2,2,1605,43.46,1735689600000
9,1,552,50.23,1735689600000
9,3,929,16.99,1735689600000
14,4,1008,34.9,1735689600000
4,3,904,26.93,1735689600000
16,3,546,84.61,1735689600000
11,1,959,80.23,1735689600000
10,3,783,43.24,1735689600000
9,1,78,61.09,1735689600000
15,4,1086,15.4,1735689600000
8,4,854,51.45,1735689600000
4,4,549,30.4,1735689600000
7,4,781,86.11,1735689600000
6,4,1531,67.49,1735689600000
2,1,438,63.71,1735689600000
10,3,1307,13.35,1735689600000
4,4,851,47.59,1735689600000
5,2,763,98.67,1735689600000
9,3,484,94.88,1735689600000
2,3,1549,64.86,1735689600000
12,1,1770,16.02,1735689600000
13,3,868,64.27,1735689600000
11,2,1306,57.0,1735689600000
5,3,742,47.4,1735689600000
1,1,1410,43.38,1735689600000
14,3,1517,60.33,1735689600000
4,4,682,85.15,1735689600000
10,1,1644,75.36,1735689600000
3,2,1592,58.36,1735689600000
16,1,568,92.55,1735689600000
1,3,1473,7.41,1735689600000
5,3,1680,99.14,1735689600000
10,3,1501,6.25,1735689600000
16,2,1321,20.75,1735689600000
3,3,1341,42.85,1735689600000
8,3,1607,11.64,1735689600000
8,4,434,62.74,1735689600000
11,2,179,5.75,1735689600000
10,1,1697,29.18,1735689600000
9,4,219,7.04,1735689600000
7,2,277,70.65,1735689600000
10,4,1333,67.18,1735689600000
4,2,551,38.48,1735689600000
8,4,450,19.63,1735689600000
15,3,1745,74.95,1735689600000
8,3,1114,34.7,1735689600000
