Product Name,Category,Material,Year,Month,Day,Total_Emissions,TS
Cargo Pants,Pants,Cotton,2022,10,13,62.34,1735689600000
Tank Top,Shirts,Leather,2024,3,6,25.95,1735689600000
Baseball Cap,Hat,Denim,2020,5,12,79.49,1735689600000
Classic T-Shirt,Shirts,Leather,2020,9,22,43.86,1735689600000
Bucket Hat,Hat,Leather,2023,2,22,36.39,1735689600000
Formal Shirt,Shirts,Polyester,2021,1,19,33.7,1735689600000
Tank Top,Shirts,Leather,2023,5,27,70.04,1735689600000
Cargo Pants,Pants,Leather,2021,2,9,27.6,1735689600000
Bucket Hat,Hat,Cotton,2024,3,11,81.02,1735689600000
Running Shoes,Shoes,Leather,2023,1,3,30.23,1735689600000
Running Shoes,Shoes,Polyester,2023,3,19,54.87,1735689600000
Leather Boots,Shoes,Cotton,2023,6,24,49.3,1735689600000
Baseball Cap,Hat,Denim,2021,2,21,85.68,1735689600000
Shorts,Pants,Cotton,2023,4,5,88.95,1735689600000
Beanie,Hat,Cotton,2024,4,28,19.25,1735689600000
Baseball Cap,Hat,Polyester,2023,2,1,58.95,1735689600000
Chino Pants,Pants,Denim,2021,6,29,89.92,1735689600000
Formal Shirt,Shirts,Leather,2023,1,24,45.17,1735689600000
Slip-On Sneakers,Shoes,Leather,2023,12,20,92.26,1735689600000
Denim Jeans,Pants,Leather,2020,7,18,28.62,1735689600000
Cowboy Hat,Hat,Cotton,2020,3,10,61.27,1735689600000
Cargo Pants,Pants,Cotton,2021,12,11,68.56,1735689600000
Slip-On Sneakers,Shoes,Cotton,2020,1,24,23.59,1735689600000
Denim Jeans,Pants,Polyester,2024,10,16,2.36,1735689600000
Tank Top,Shirts,Leather,2020,4,16,42.26,1735689600000
Baseball Cap,Hat,Polyester,2022,11,29,93.91,1735689600000
Polo Shirt,Shirts,Denim,2020,2,1,34.96,1735689600000
Baseball Cap,Hat,Denim,2023,8,10,78.19,1735689600000
Beanie,Hat,Polyester,2020,2,8,18.3,1735689600000
Cowboy Hat,Hat,Cotton,2020,7,3,34.85,1735689600000
Slip-On Sneakers,Shoes,Leather,2022,5,5,15.32,1735689600000
Denim Jeans,Pants,Denim,2023,12,15,71.96,1735689600000
Shorts,Pants,Cotton,2021,8,1,70.23,1735689600000
Shorts,Pants,Denim,2024,12,7,69.16,1735689600000
Formal Shirt,Shirts,Leather,2024,2,1,26.09,1735689600000
Leather Boots,Shoes,Polyester,2022,6,15,69.54,1735689600000
Shorts,Pants,Polyester,2022,11,6,23.5,1735689600000
Cowboy Hat,Hat,Cotton,2022,3,9,43.04,1735689600000
Running Shoes,Shoes,Polyester,2024,3,12,37.82,1735689600000
Chino Pants,Pants,Denim,2022,5,26,36.18,1735689600000
Beanie,Hat,Polyester,2021,11,30,6.71,1735689600000
Formal Shirt,Shirts,Polyester,2024,5,8,63.53,1735689600000
Formal Shirt,Shirts,Polyester,2020,5,1,71.02,1735689600000
Shorts,Pants,Cotton,2022,1,22,61.75,1735689600000
Bucket Hat,Hat,Leather,2023,6,21,65.18,1735689600000
Beanie,Hat,Polyester,2022,3,28,17.82,1735689600000
Chino Pants,Pants,Denim,2021,4,3,15.8,1735689600000
Formal Shirt,Shirts,Cotton,2022,5,25,51.9,1735689600000
Leather Boots,Shoes,Cotton,2021,11,17,87.66,1735689600000
Running Shoes,Shoes,Leather,2020,6,4,19.21,1735689600000
Baseball Cap,Hat,Leather,2021,11,4,46.82,1735689600000
Leather Boots,Shoes,Leather,2024,5,23,43.46,1735689600000
Classic T-Shirt,Shirts,Cotton,2021,7,5,50.23,1735689600000
Classic T-Shirt,Shirts,Polyester,2022,7,17,16.99,1735689600000
