Product Name,Category,Material,Year,Month,Day,Total Emissions (kgCO2e)
Beanie,Hat,Cotton,2020,9,11,25.58
Beanie,Hat,Cotton,2020,11,18,126.17
Beanie,Hat,Cotton,2021,3,25,7.43
Beanie,Hat,Cotton,2021,5,26,50.49
Beanie,Hat,Cotton,2022,2,26,79.73
Beanie,Hat,Cotton,2022,4,12,3.29
Beanie,Hat,Cotton,2022,8,29,46.7
Beanie,Hat,Cotton,2023,7,19,3.36
Beanie,Hat,Cotton,2024,3,2,43.45
Beanie,Hat,Cotton,2024,4,28,19.25
Beanie,Hat,Leather,2020,6,5,13.22
Beanie,Hat,Leather,2021,12,15,79.15
Beanie,Hat,Leather,2022,3,7,28.93
Beanie,Hat,Leather,2022,3,22,71.14
Beanie,Hat,Leather,2022,7,12,84.93
Beanie,Hat,Leather,2022,11,22,8.77
Beanie,Hat,Leather,2023,2,11,28.87
Beanie,Hat,Leather,2024,8,19,1.99
Beanie,Hat,Polyester,2020,1,3,53.26
Beanie,Hat,Polyester,2020,2,8,18.3
Beanie,Hat,Polyester,2020,4,19,4.45
Beanie,Hat,Polyester,2021,6,27,68.62
Beanie,Hat,Polyester,2021,11,30,6.71
Beanie,Hat,Polyester,2021,12,23,17.53
Beanie,Hat,Polyester,2022,3,28,17.82
Beanie,Hat,Polyester,2022,4,23,52.75
Beanie,Hat,Polyester,2022,7,26,77.97
Beanie,Hat,Polyester,2022,8,21,34.23
Beanie,Hat,Polyester,2022,11,18,26.09
Beanie,Hat,Polyester,2022,12,24,77.01
Beanie,Hat,Polyester,2023,2,10,63.46
Beanie,Hat,Polyester,2023,9,3,49.19
Beanie,Hat,Polyester,2023,10,25,26.13
Beanie,Hat,Polyester,2024,1,19,41.5
Beanie,Hat,Polyester,2024,2,25,60.33
Beanie,Hat,Polyester,2024,7,2,50.8
Beanie,Hat,Denim,2020,1,6,42.74
Beanie,Hat,Denim,2020,3,20,70.29
Beanie,Hat,Denim,2020,6,4,88.61
Beanie,Hat,Denim,2020,10,27,97.38
Beanie,Hat,Denim,2021,4,19,77.52
Beanie,Hat,Denim,2021,10,28,30.46
Beanie,Hat,Denim,2021,10,30,92.71
Beanie,Hat,Denim,2022,10,4,34.9
Beanie,Hat,Denim,2022,11,4,15.95
Beanie,Hat,Denim,2024,5,3,89.09
Beanie,Hat,Denim,2024,5,18,70.05
