Product ID,SKU Code,Product Name,Supplier,Purchase Cost,Units Sold,Sale Date,Expiration Date,Promotional Code,Customer Feedback,Returns,Return Reason,Tax Category,Gender,Age Group,Weight (kg),Dimensions (cm),Sustainability,Store,City,Province,Region,Category,Unit Price,Type of Sale,Month of Sale,Quarter of Sale,Bimonth of Sale,Year of Sale
001,SKU00001,Shirts,"Medina, Mcdonald and Dillon",9.639323832757135,83,2024-01-24,2025-08-26,,3,10,Other,Reduced,Non-binary,Adult,4.831581163538592,18.0 x 22.7 x 8.0,No,Wong-Simmons,Caltanissetta,Palermo,Sicily,Shoes,68.95700576562265,Delivery,January 2024,Q1 2024,B1 2024,2024
002,SKU00002,Coats,Turner-Ramirez,21.1917613790623,75,2023-08-31,2024-07-12,,4,7,Other,Reduced,Female,Senior,0.6769507825661765,18.9 x 20.0 x 14.1,Yes,"Newman, Whitaker and Reyes",Monza,Milan,Lombardy,Shoes,45.6642521030061,In-store,August 2023,Q3 2023,B4 2023,2023
003,SKU00003,Bags,Lee and Sons,6.272573300327501,22,2024-05-17,2025-04-30,KUT-5535,1,5,Defective,Standard,Female,Adult,0.41450092792208804,17.0 x 48.8 x 4.2,Yes,Cooper-Patton,Grosseto,Florence,Tuscany,Shoes,69.40762021218612,Online,May 2024,Q2 2024,B3 2024,2024
004,SKU00004,Shirts,Johnson-Wells,45.96229293021027,59,2023-10-11,2026-02-04,ZNH-4222,3,1,Change of mind,Reduced,Non-binary,Adult,4.165093724570107,44.6 x 36.4 x 7.5,No,Lee-Morgan,Perugia,Perugia,Umbria,Women,27.824132563291965,In-store,October 2023,Q4 2023,B5 2023,2023
005,SKU00005,Accessories,Anthony PLC,24.256309864334618,9,2023-08-14,2025-11-22,LLK-5924,4,2,Change of mind,Reduced,Male,Senior,2.4912286064863727,31.3 x 41.1 x 2.3,No,"Garcia, Brown and Hunter",Pescara,Chieti,Abruzzo,Shoes,91.56823427708721,In-store,August 2023,Q3 2023,B4 2023,2023
006,SKU00006,Shirts,"Clark, Rice and Horn",22.950774018373806,54,2024-01-25,2026-03-05,,2,5,Change of mind,Standard,Female,Teen,2.0202093515181576,43.0 x 42.1 x 15.6,No,Daniels-Austin,Merano,Trento,Trentino-Alto Adige,Shoes,19.31293677766877,In-store,January 2024,Q1 2024,B1 2024,2024
007,SKU00007,Accessories,"Mills, Smith and Wagner",24.52625446640093,54,2023-06-05,2024-08-29,WWX-1433,5,9,Defective,Standard,Male,Senior,2.929118148814458,37.0 x 10.3 x 18.2,No,"Thompson, Figueroa and King",Salerno,Naples,Campania,Men,79.34207476561656,In-store,June 2023,Q2 2023,B3 2023,2023
008,SKU00008,Coats,"Baker, Jacobs and Harrison",33.16428884768524,90,2024-04-29,2024-09-13,,1,3,Other,Reduced,Male,Adult,0.9061957943009186,44.9 x 46.4 x 9.4,No,Brown and Sons,Melfi,Potenza,Basilicata,Unisex,86.73753777654422,Store Pickup,April 2024,Q2 2024,B2 2024,2024
009,SKU00009,Shoes,"Dean, Berry and Hayes",48.56313073806983,73,2023-10-18,2025-03-23,BWP-1453,5,8,Change of mind,Reduced,Female,Teen,2.0693958615426165,38.5 x 29.1 x 13.0,Yes,Donaldson PLC,Savona,Genoa,Liguria,Unisex,68.75654178645908,In-store,October 2023,Q4 2023,B5 2023,2023
010,SKU00010,Coats,"Hebert, Smith and Brennan",30.406480281263992,35,2024-02-08,2024-12-17,GJK-5922,4,0,Defective,Standard,Non-binary,Senior,4.691124105723211,18.0 x 22.1 x 18.1,No,"Arias, Rodriguez and Davis",Caltanissetta,Palermo,Sicily,Women,94.72034360535478,Store Pickup,February 2024,Q1 2024,B1 2024,2024
011,SKU00011,Jackets,White-Rivera,19.243624286390396,92,2024-02-18,2026-01-18,BND-4411,1,9,Change of mind,Standard,Male,Senior,0.3797811646280804,43.2 x 24.9 x 5.0,Yes,"Bennett, Estes and Tate",Campobasso,Campobasso,Molise,Unisex,23.24261432706272,Store Pickup,February 2024,Q1 2024,B1 2024,2024
012,SKU00012,Coats,"Murray, Kelley and Jennings",36.997329383200764,88,2023-07-12,2024-09-17,,5,5,Change of mind,Super-Reduced,Non-binary,Adult,4.654967857771669,44.3 x 43.0 x 7.5,Yes,Thomas-Berger,Reggio Emilia,Bologna,Emilia-Romagna,Men,62.30132983403512,In-store,July 2023,Q3 2023,B4 2023,2023
013,SKU00013,Shoes,Preston-Wilkinson,16.54899321561856,13,2024-03-28,2025-06-20,TQM-7517,5,4,Change of mind,Super-Reduced,Male,Senior,0.7251265934546964,44.2 x 30.7 x 16.6,No,"Payne, Fisher and Holt",Novara,Turin,Piedmont,Accessories,24.00950064169325,Online,March 2024,Q1 2024,B2 2024,2024
014,SKU00014,Bags,Jacobs LLC,35.10385861042095,45,2024-02-29,2025-12-19,,3,6,Not as described,Reduced,Male,Teen,4.25367571077203,44.2 x 12.5 x 10.9,Yes,Martin Group,Perugia,Perugia,Umbria,Women,46.633170472243265,In-store,February 2024,Q1 2024,B1 2024,2024
015,SKU00015,Shoes,"Reed, Barker and Smith",28.817567188347688,34,2023-11-14,2025-03-20,AJV-0395,2,0,,Reduced,Male,Senior,1.8057032227793774,46.5 x 46.4 x 11.5,Yes,Jimenez and Sons,Olbia,Cagliari,Sardinia,Accessories,33.44155720898962,Delivery,November 2023,Q4 2023,B6 2023,2023
016,SKU00016,Jeans,"Wagner, Jennings and Wright",35.28687153977623,33,2023-10-31,2025-09-26,LQE-2522,1,1,Other,Super-Reduced,Female,Adult,2.3083928686048787,49.5 x 21.5 x 18.0,Yes,Mason LLC,Courmayeur,Aosta,Aosta Valley,Accessories,91.21879294405919,Store Pickup,October 2023,Q4 2023,B5 2023,2023
017,SKU00017,Shirts,Munoz-Hughes,26.095255279504055,15,2023-09-23,2025-07-29,EJC-9359,5,10,,Standard,Non-binary,Senior,1.0507399298963649,15.6 x 29.6 x 13.9,Yes,Lopez-Wolf,Trento,Trento,Trentino-Alto Adige,Men,11.791761758355268,In-store,September 2023,Q3 2023,B5 2023,2023
018,SKU00018,Jeans,"Hunter, Schneider and Quinn",5.631491433021264,57,2024-05-03,2026-05-30,,2,7,Other,Reduced,Female,Adult,4.4105109745094655,12.9 x 34.0 x 2.5,No,Patterson-Marquez,Lecce,Bari,Apulia,Accessories,25.182021034481746,In-store,May 2024,Q2 2024,B3 2024,2024
019,SKU00019,Bags,Moore PLC,24.86836282431687,34,2024-01-01,2025-05-08,JHV-9436,3,4,Defective,Super-Reduced,Female,Senior,2.968145538091005,44.3 x 47.4 x 2.2,Yes,Villa-Smith,Reggio Calabria,Catanzaro,Calabria,Men,65.05663358749541,Online,January 2024,Q1 2024,B1 2024,2024
020,SKU00020,Shirts,Barrett-Martinez,30.94215363129409,12,2024-05-21,2025-06-12,,3,10,Other,Reduced,Female,Adult,0.1763410517937827,27.7 x 21.8 x 18.8,No,Martinez PLC,Cagliari,Cagliari,Sardinia,Accessories,46.497892005533195,In-store,May 2024,Q2 2024,B3 2024,2024
021,SKU00021,Bags,Guerrero Group,21.752728253650407,29,2024-02-18,2025-08-01,PVX-3423,4,3,Change of mind,Reduced,Male,Adult,0.6593734350816275,13.4 x 25.4 x 2.0,No,Castillo LLC,Matera,Potenza,Basilicata,Shoes,24.02934233901376,In-store,February 2024,Q1 2024,B1 2024,2024
022,SKU00022,Jeans,"Roberts, Bond and Garcia",26.26853015906729,38,2023-09-18,2025-08-26,JEI-1095,3,5,Defective,Standard,Non-binary,Teen,3.22487853023167,36.8 x 37.7 x 14.2,Yes,"Jones, Cunningham and Mcdaniel",Bologna,Bologna,Emilia-Romagna,Women,39.67040713069834,Online,September 2023,Q3 2023,B5 2023,2023
023,SKU00023,Jackets,Morales Ltd,42.70701694483825,71,2023-11-03,2025-05-02,,2,10,Defective,Standard,Male,Adult,1.6618723064315692,36.0 x 25.7 x 16.8,Yes,Morris-Campos,Vibo Valentia,Catanzaro,Calabria,Men,82.77048271435385,Online,November 2023,Q4 2023,B6 2023,2023
