Product ID,SKU Code,Product Name,Supplier,Purchase Cost,Units Sold,Sale Date,Expiration Date,Promotional Code,Customer Feedback,Returns,Return Reason,Tax Category,Gender,Age Group,Weight (kg),Dimensions (cm),Sustainability,Store,City,Province,Region,Category,Unit Price,Type of Sale,Month of Sale,Quarter of Sale,Bimonth of Sale,Year of Sale
1,SKU00001,Shirts,"Medina, Mcdonald and Dillon",9.639323832757135,83,2024-01-24,2025-08-26,,3,10.0,Other,Reduced,Non-binary,Adult,4.831581163538592,18.0 x 22.7 x 8.0,No,Wong-Simmons,Caltanissetta,Palermo,Sicily,Shoes,68.95700576562265,Delivery,January 2024,Q1 2024,B1 2024,2024
2,SKU00002,Coats,Turner-Ramirez,21.1917613790623,75,2023-08-31,2024-07-12,,4,7.0,Other,Reduced,Female,Senior,0.6769507825661765,18.9 x 20.0 x 14.1,Yes,"Newman, Whitaker and Reyes",Monza,Milan,Lombardy,Shoes,45.6642521030061,In-store,August 2023,Q3 2023,B4 2023,2023
3,SKU00003,Bags,Lee and Sons,6.272573300327501,22,2024-05-17,2025-04-30,KUT-5535,1,5.0,Defective,Standard,Female,Adult,0.414500927922088,17.0 x 48.8 x 4.2,Yes,Cooper-Patton,Grosseto,Florence,Tuscany,Shoes,69.40762021218612,Online,May 2024,Q2 2024,B3 2024,2024
4,SKU00004,Shirts,Johnson-Wells,45.96229293021027,59,2023-10-11,2026-02-04,ZNH-4222,3,1.0,Change of mind,Reduced,Non-binary,Adult,4.165093724570107,44.6 x 36.4 x 7.5,No,Lee-Morgan,Perugia,Perugia,Umbria,Women,27.824132563291965,In-store,October 2023,Q4 2023,B5 2023,2023
5,SKU00005,Accessories,Anthony PLC,24.256309864334614,9,2023-08-14,2025-11-22,LLK-5924,4,2.0,Change of mind,Reduced,Male,Senior,2.4912286064863727,31.3 x 41.1 x 2.3,No,"Garcia, Brown and Hunter",Pescara,Chieti,Abruzzo,Shoes,91.5682342770872,In-store,August 2023,Q3 2023,B4 2023,2023
6,SKU00006,Shirts,"Clark, Rice and Horn",22.950774018373806,54,2024-01-25,2026-03-05,,2,5.0,Change of mind,Standard,Female,Teen,2.0202093515181576,43.0 x 42.1 x 15.6,No,Daniels-Austin,Merano,Trento,Trentino-Alto Adige,Shoes,19.31293677766877,In-store,January 2024,Q1 2024,B1 2024,2024
7,SKU00007,Accessories,"Mills, Smith and Wagner",24.52625446640093,54,2023-06-05,2024-08-29,WWX-1433,5,9.0,Defective,Standard,Male,Senior,2.929118148814458,37.0 x 10.3 x 18.2,No,"Thompson, Figueroa and King",Salerno,Naples,Campania,Men,79.34207476561656,In-store,June 2023,Q2 2023,B3 2023,2023
8,SKU00008,Coats,"Baker, Jacobs and Harrison",33.16428884768524,90,2024-04-29,2024-09-13,,1,3.0,Other,Reduced,Male,Adult,0.9061957943009186,44.9 x 46.4 x 9.4,No,Brown and Sons,Melfi,Potenza,Basilicata,Unisex,86.73753777654422,Store Pickup,April 2024,Q2 2024,B2 2024,2024
9,SKU00009,Shoes,"Dean, Berry and Hayes",48.56313073806983,73,2023-10-18,2025-03-23,BWP-1453,5,8.0,Change of mind,Reduced,Female,Teen,2.0693958615426165,38.5 x 29.1 x 13.0,Yes,Donaldson PLC,Savona,Genoa,Liguria,Unisex,68.75654178645908,In-store,October 2023,Q4 2023,B5 2023,2023
10,SKU00010,Coats,"Hebert, Smith and Brennan",30.406480281263992,35,2024-02-08,2024-12-17,GJK-5922,4,0.0,Defective,Standard,Non-binary,Senior,4.691124105723211,18.0 x 22.1 x 18.1,No,"Arias, Rodriguez and Davis",Caltanissetta,Palermo,Sicily,Women,94.72034360535478,Store Pickup,February 2024,Q1 2024,B1 2024,2024
